evidence_id,source_id,source_url,page_or_section_reference,short_excerpt_or_paraphrase,criterion_tags,original_source_type,canonical_source_type,implementation_evidence_allowed,source_type,approval_status_if_inferable,validity_or_review_date_if_inferable,language,trust_level,redistribution_note,rationale_for_source_type,ambiguity_flag
PUBIR-E014,PUBIR-S05-USC,https://policy.usc.edu/security-incident-response/,Scope,"Paraphrase: the policy applies to employees, students, consultants, vendors, affiliates, contractors, guests, retirees, and other users of USC technology resources.","[""supplier_or_third_party_incident_escalation""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E015,PUBIR-S05-USC,https://policy.usc.edu/security-incident-response/,Purpose,Paraphrase: the policy describes expectations for managing cybersecurity incidents and minimum security requirements.,"[""documented_incident_response_process""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E016,PUBIR-S05-USC,https://policy.usc.edu/security-incident-response/,Third-party information assets,"Paraphrase: the definition of cybersecurity incident includes university information assets handled, stored, or accessed by third-party services or products.","[""supplier_or_third_party_incident_escalation"", ""incident_reporting_channel""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E017,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Purpose,"Paraphrase: the UConn plan defines roles, responsibilities, response characterization, policy relationships, and reporting requirements.","[""documented_incident_response_process"", ""assigned_roles_and_responsibilities"", ""incident_reporting_channel""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E018,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Reporting contacts,"Paraphrase: suspected exposure can be reported to the Technology Support Center, Information Security Office, or Privacy Program.","[""incident_reporting_channel""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E019,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Roles and responsibilities,"Paraphrase: CISO, Privacy Officer, Executive Response Team, coordinator, and handlers have defined incident-response responsibilities.","[""assigned_roles_and_responsibilities"", ""management_approval""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E020,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Evidence preservation,"Paraphrase: evidence collection can delay restoration, and documentation supports chain of custody for gathered data.","[""evidence_preservation""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E021,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Training,"Paraphrase: incident-handling processes are periodically reviewed, exercised, and evaluated; training may include tabletop exercises.","[""periodic_testing_or_exercises""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E022,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,Recovery,Paraphrase: recovery includes lessons learned from handling incidents and their incorporation into future exercises or training.,"[""post_incident_review_or_lessons_learned""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E023,PUBIR-S06-UCONN,https://security.uconn.edu/incident-response-plan/,External vendor,Paraphrase: the executive response appendix mentions procurement engaging a designated vendor for notification and monitoring services when applicable.,"[""supplier_or_third_party_incident_escalation""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E024,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Abstract,"Paraphrase: the plan identifies incident-handling roles, responsibilities, and procedures.","[""documented_incident_response_process"", ""assigned_roles_and_responsibilities""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E025,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Reporting contacts,Paraphrase: suspected or confirmed information security incidents can be reported to the UBIT Help Center or police for illegal/life-threatening situations.,"[""incident_reporting_channel"", ""escalation_procedure""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E026,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Stewardship,Paraphrase: the Information Security Office owns the plan and reviews it annually or after a major-risk incident.,"[""management_approval"", ""document_version_and_validity""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E027,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Lifecycle,"Paraphrase: plan stages include preparation, detection, activation/response, containment, notification, remediation, resolution, and after-action analysis.","[""documented_incident_response_process"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E028,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Preparation,"Paraphrase: preparation includes communication protocols, training, tool acquisition, and practice.","[""periodic_testing_or_exercises""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E029,PUBIR-S07-BUFFALO,https://www.buffalo.edu/ubit/policies/policies-standards-guidelines/ubit-standards/incident-response-plan.html,Containment,Paraphrase: containment includes preserving evidence while minimizing and stopping damage.,"[""evidence_preservation""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E030,PUBIR-S08-SCU,https://www.scu.edu/is/technology-policies-procedures-and-standards/incident-response-procedure/,Immediate steps,Paraphrase: suspected security breaches should be isolated without shutdown or alteration and reported to Information Security.,"[""incident_reporting_channel"", ""evidence_preservation""]",company_policy,public_org_procedure,True,procedure,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_procedure to public_org_procedure: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E031,PUBIR-S08-SCU,https://www.scu.edu/is/technology-policies-procedures-and-standards/incident-response-procedure/,ISO actions,"Paraphrase: Information Security designates an incident handler, creates an incident log, identifies affected systems, and preserves electronic evidence.","[""assigned_roles_and_responsibilities"", ""evidence_preservation""]",company_policy,public_org_procedure,True,procedure,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_procedure to public_org_procedure: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E032,PUBIR-S09-ASU,https://www.asurams.edu/technology/forms-policies/its-incident-response.php,Policy,"Paraphrase: the policy defines methods for identifying, tracking, and responding to network and computer-based IT security incidents.","[""documented_incident_response_process""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E033,PUBIR-S09-ASU,https://www.asurams.edu/technology/forms-policies/its-incident-response.php,CISO role,"Paraphrase: the CISO ensures prompt reporting, investigation, and escalation to governance or law enforcement where applicable.","[""assigned_roles_and_responsibilities"", ""escalation_procedure"", ""management_approval""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E034,PUBIR-S09-ASU,https://www.asurams.edu/technology/forms-policies/its-incident-response.php,User reporting,Paraphrase: IT users report suspected incidents through the Help Desk; affected owners and executives are notified on discovery.,"[""incident_reporting_channel"", ""escalation_procedure""]",company_policy,public_org_policy,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_policy to public_org_policy: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E035,PUBIR-S10-USNH,https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/incident-response-standard-cybersecurity,IR team,Paraphrase: the university maintains a dedicated incident response team that coordinates and executes the incident response plan.,"[""assigned_roles_and_responsibilities"", ""documented_incident_response_process""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_standard to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E036,PUBIR-S10-USNH,https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/incident-response-standard-cybersecurity,Process phases,"Paraphrase: the standard covers assessment, containment, eradication, recovery, communication, documentation, legal compliance, notification, and lessons learned.","[""documented_incident_response_process"", ""escalation_procedure"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_standard to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E037,PUBIR-S10-USNH,https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/incident-response-standard-cybersecurity,Documentation,"Paraphrase: detailed incident records include actions taken, evidence collected, and communications.","[""evidence_preservation""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_standard to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E038,PUBIR-S10-USNH,https://www.usnh.edu/it/departments/cybersecurity/cybersecurity-policies-standards/incident-response-standard-cybersecurity,Approval history,"Paraphrase: the document history identifies CISO approval, GRC review, and a 2024 revision.","[""management_approval"", ""document_version_and_validity""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_standard to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E039,PUBIR-S11-WWU,https://its.wwu.edu/gdl-300007i-cybersecurity-incident-response-guidelines,Creation and maintenance,"Paraphrase: the Information Security Office creates and annually updates the IRP, which is reviewed by a standards committee and approved by the CIO.","[""management_approval"", ""document_version_and_validity""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_guideline to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E040,PUBIR-S11-WWU,https://its.wwu.edu/gdl-300007i-cybersecurity-incident-response-guidelines,IRP elements,"Paraphrase: required IRP elements include core IRT contacts, risk classification, reporting, handling, investigation, remediation, documentation, communication, testing, and playbooks.","[""documented_incident_response_process"", ""assigned_roles_and_responsibilities"", ""incident_reporting_channel"", ""evidence_preservation""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_guideline to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E041,PUBIR-S11-WWU,https://its.wwu.edu/gdl-300007i-cybersecurity-incident-response-guidelines,Testing,"Paraphrase: IRPs should be tested annually using tabletop or functional exercises, and lessons learned should update the plan.","[""periodic_testing_or_exercises"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_standard,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_guideline to public_org_standard: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E042,PUBIR-S12-MCNEESE,https://www.mcneese.edu/policy/information-technology-incident-response-plan/,Risk classification,Paraphrase: the incident coordinator and OIT review known details and classify incident risk.,"[""documented_incident_response_process"", ""escalation_procedure""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E043,PUBIR-S12-MCNEESE,https://www.mcneese.edu/policy/information-technology-incident-response-plan/,IRT assembly,"Paraphrase: the coordinator assembles an IRT under CIO guidance and may consult legal, police, leadership, communications, and other departments.","[""assigned_roles_and_responsibilities"", ""escalation_procedure"", ""management_approval""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E044,PUBIR-S12-MCNEESE,https://www.mcneese.edu/policy/information-technology-incident-response-plan/,Supplier/procurement,Paraphrase: procurement advises on incidents involving contracted vendors.,"[""supplier_or_third_party_incident_escalation""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E045,PUBIR-S12-MCNEESE,https://www.mcneese.edu/policy/information-technology-incident-response-plan/,Incident documentation,"Paraphrase: critical and major incidents require incident reports, remediation documentation, tracking tickets, and archive responsibility.","[""evidence_preservation"", ""post_incident_review_or_lessons_learned""]",company_policy,public_org_plan,True,company_policy,approved,2028-12-31,en,high,store_url_and_short_paraphrases_only,"Mapped public_university_incident_response_plan to public_org_plan: public organizational IR evidence can support implementation-like pre-assessment, subject to reviewer confirmation.",False
PUBIR-E046,PUBIR-S02-EPA,https://www.epa.gov/cyberwater/cybersecurity-planning,Template purpose,Paraphrase: EPA provides a customizable cybersecurity incident response plan template for water and wastewater utilities.,"[""documented_incident_response_process""]",draft_policy,public_template,False,draft_policy,unknown,unknown,en,medium,store_url_and_short_paraphrases_only,"Mapped government_incident_response_template to public_template: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E047,PUBIR-S02-EPA,https://www.epa.gov/cyberwater/cybersecurity-planning,External contractors,"Paraphrase: template instructions tell utilities to coordinate with vendors, third-party suppliers, and integrators during CIRP development.","[""supplier_or_third_party_incident_escalation""]",draft_policy,public_template,False,draft_policy,unknown,unknown,en,medium,store_url_and_short_paraphrases_only,"Mapped government_incident_response_template to public_template: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E048,PUBIR-S02-EPA,https://www.epa.gov/cyberwater/cybersecurity-planning,Maintenance and training,"Paraphrase: instructions describe the CIRP as a living document and recommend training, response-partner familiarization, and tabletop exercises.","[""periodic_testing_or_exercises"", ""document_version_and_validity""]",draft_policy,public_template,False,draft_policy,unknown,unknown,en,medium,store_url_and_short_paraphrases_only,"Mapped government_incident_response_template to public_template: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E049,PUBIR-S13-NIST61R3,https://www.nist.gov/news-events/news/2025/04/nist-revises-sp-800-61-incident-response-recommendations-and-considerations,NIST guidance,Paraphrase: NIST SP 800-61 Rev. 3 frames incident response as part of cybersecurity risk management and response/recovery activities.,"[""documented_incident_response_process""]",norm_text,public_guidance,False,norm_text,approved,unknown,en,high,store_url_and_short_paraphrases_only,"Mapped public_incident_response_guidance to public_guidance: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E050,PUBIR-S14-NIST84,https://csrc.nist.gov/pubs/sp/800/84/final,TT&E guidance,"Paraphrase: NIST SP 800-84 describes designing, conducting, and evaluating test, training, and exercise events for IT plans.","[""periodic_testing_or_exercises""]",norm_text,public_guidance,False,norm_text,approved,unknown,en,high,store_url_and_short_paraphrases_only,"Mapped public_testing_exercise_guidance to public_guidance: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E051,PUBIR-S15-OSCAL,https://pages.nist.gov/OSCAL/learn/concepts/layer/assessment/assessment-plan/,Assessment plan model,"Paraphrase: OSCAL assessment plans express scope, schedule, activities, rules of engagement, continuous monitoring, and responsible roles.","[""evidence_preservation"", ""management_approval""]",norm_text,oscal_control,False,norm_text,approved,unknown,en,high,store_url_and_short_paraphrases_only,"Mapped public_machine_readable_assessment_model to oscal_control: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
PUBIR-E052,PUBIR-S16-FEDRAMP,https://help.fedramp.gov/hc/en-us/articles/28895414289947-FedRAMP-Annual-Assessment-Guidance-Version-3-0,Assessment templates,"Paraphrase: FedRAMP guidance points to OSCAL versions of SSP, SAP, SAR, and POA&M templates for assessment artifacts.","[""evidence_preservation""]",norm_text,assessment_template,False,norm_text,approved,unknown,en,high,store_url_and_short_paraphrases_only,"Mapped public_assessment_template_reference to assessment_template: guidance/templates/catalogs are context or distractors, not implementation evidence by themselves.",False
