evidence_id,document_id,section_title,text,source_type,planted,metadata
IRCASE-0004-EV-DISTRACTOR_0-0,IRCASE-0004-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0004-EV-DISTRACTOR_1-0,IRCASE-0004-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0005-EV-PROCESS-0,IRCASE-0005-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0005-EV-ROLES-1,IRCASE-0005-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0005-EV-POST_INCIDENT_REVIEW-2,IRCASE-0005-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0005-EV-DISTRACTOR_0-0,IRCASE-0005-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0005-EV-DISTRACTOR_1-0,IRCASE-0005-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0006-EV-ESCALATION-0,IRCASE-0006-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0006-EV-DISTRACTOR_0-0,IRCASE-0006-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0006-EV-DISTRACTOR_1-0,IRCASE-0006-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0007-EV-NON_SUPPORTING-0,IRCASE-0007-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0007-EV-DISTRACTOR_0-0,IRCASE-0007-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0007-EV-DISTRACTOR_1-0,IRCASE-0007-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0008-EV-NON_SUPPORTING-0,IRCASE-0008-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0008-EV-DISTRACTOR_0-0,IRCASE-0008-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0008-EV-DISTRACTOR_1-0,IRCASE-0008-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0009-EV-PROCESS-0,IRCASE-0009-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0009-EV-ROLES-1,IRCASE-0009-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0009-EV-POST_INCIDENT_REVIEW-2,IRCASE-0009-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0009-EV-DISTRACTOR_0-0,IRCASE-0009-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0009-EV-DISTRACTOR_1-0,IRCASE-0009-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0010-EV-ROLES-0,IRCASE-0010-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0010-EV-DISTRACTOR_0-0,IRCASE-0010-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0010-EV-DISTRACTOR_1-0,IRCASE-0010-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0011-EV-NON_SUPPORTING-0,IRCASE-0011-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0011-EV-DISTRACTOR_0-0,IRCASE-0011-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0011-EV-DISTRACTOR_1-0,IRCASE-0011-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0012-EV-NON_SUPPORTING-0,IRCASE-0012-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0012-EV-DISTRACTOR_0-0,IRCASE-0012-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0012-EV-DISTRACTOR_1-0,IRCASE-0012-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0013-EV-PROCESS-0,IRCASE-0013-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0013-EV-ROLES-1,IRCASE-0013-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0013-EV-POST_INCIDENT_REVIEW-2,IRCASE-0013-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0013-EV-DISTRACTOR_0-0,IRCASE-0013-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0013-EV-DISTRACTOR_1-0,IRCASE-0013-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0014-EV-ESCALATION-0,IRCASE-0014-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0014-EV-DISTRACTOR_0-0,IRCASE-0014-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0014-EV-DISTRACTOR_1-0,IRCASE-0014-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0015-EV-NON_SUPPORTING-0,IRCASE-0015-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0015-EV-DISTRACTOR_0-0,IRCASE-0015-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0015-EV-DISTRACTOR_1-0,IRCASE-0015-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0016-EV-NON_SUPPORTING-0,IRCASE-0016-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0016-EV-DISTRACTOR_0-0,IRCASE-0016-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0016-EV-DISTRACTOR_1-0,IRCASE-0016-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0017-EV-PROCESS-0,IRCASE-0017-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0017-EV-ROLES-1,IRCASE-0017-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0017-EV-POST_INCIDENT_REVIEW-2,IRCASE-0017-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0017-EV-DISTRACTOR_0-0,IRCASE-0017-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0017-EV-DISTRACTOR_1-0,IRCASE-0017-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0018-EV-ROLES-0,IRCASE-0018-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0018-EV-DISTRACTOR_0-0,IRCASE-0018-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0018-EV-DISTRACTOR_1-0,IRCASE-0018-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0019-EV-NON_SUPPORTING-0,IRCASE-0019-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0019-EV-DISTRACTOR_0-0,IRCASE-0019-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0019-EV-DISTRACTOR_1-0,IRCASE-0019-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0020-EV-NON_SUPPORTING-0,IRCASE-0020-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0020-EV-DISTRACTOR_0-0,IRCASE-0020-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0020-EV-DISTRACTOR_1-0,IRCASE-0020-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0021-EV-PROCESS-0,IRCASE-0021-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0021-EV-ROLES-1,IRCASE-0021-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0021-EV-POST_INCIDENT_REVIEW-2,IRCASE-0021-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0021-EV-DISTRACTOR_0-0,IRCASE-0021-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0021-EV-DISTRACTOR_1-0,IRCASE-0021-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0022-EV-ROLES-0,IRCASE-0022-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0022-EV-DISTRACTOR_0-0,IRCASE-0022-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0022-EV-DISTRACTOR_1-0,IRCASE-0022-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0023-EV-NON_SUPPORTING-0,IRCASE-0023-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0023-EV-DISTRACTOR_0-0,IRCASE-0023-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0023-EV-DISTRACTOR_1-0,IRCASE-0023-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0024-EV-NON_SUPPORTING-0,IRCASE-0024-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0024-EV-DISTRACTOR_0-0,IRCASE-0024-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0024-EV-DISTRACTOR_1-0,IRCASE-0024-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0025-EV-PROCESS-0,IRCASE-0025-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0025-EV-ROLES-1,IRCASE-0025-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0025-EV-POST_INCIDENT_REVIEW-2,IRCASE-0025-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0025-EV-DISTRACTOR_0-0,IRCASE-0025-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0025-EV-DISTRACTOR_1-0,IRCASE-0025-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0026-EV-ROLES-0,IRCASE-0026-DOC-A,Incident response roles and responsibilities: Roles,"For requirement IR-002, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0026-EV-DISTRACTOR_0-0,IRCASE-0026-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0026-EV-DISTRACTOR_1-0,IRCASE-0026-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0027-EV-NON_SUPPORTING-0,IRCASE-0027-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0027-EV-DISTRACTOR_0-0,IRCASE-0027-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0027-EV-DISTRACTOR_1-0,IRCASE-0027-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0028-EV-NON_SUPPORTING-0,IRCASE-0028-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0028-EV-DISTRACTOR_0-0,IRCASE-0028-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0028-EV-DISTRACTOR_1-0,IRCASE-0028-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0029-EV-PROCESS-0,IRCASE-0029-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0029-EV-ROLES-1,IRCASE-0029-DOC-A,Documented incident response process: Roles,"For requirement IR-001, The role matrix assigns an incident commander, communications owner, technical lead, legal contact, and executive liaison.",role_matrix,True,"{'evidence_type': 'roles', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0029-EV-POST_INCIDENT_REVIEW-2,IRCASE-0029-DOC-A,Documented incident response process: Post Incident Review,"For requirement IR-001, The post-incident review template records root cause, impact, corrective actions, and management approval.",procedure,True,"{'evidence_type': 'post_incident_review', 'requirement_id': 'IR-001', 'synthetic': True}"
IRCASE-0029-EV-DISTRACTOR_0-0,IRCASE-0029-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0029-EV-DISTRACTOR_1-0,IRCASE-0029-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0030-EV-ESCALATION-0,IRCASE-0030-DOC-A,Incident response roles and responsibilities: Escalation,"For requirement IR-002, Confirmed high-severity incidents are escalated to the security manager and crisis lead within four hours.",policy,True,"{'evidence_type': 'escalation', 'requirement_id': 'IR-002', 'synthetic': True}"
IRCASE-0030-EV-DISTRACTOR_0-0,IRCASE-0030-DOC-B,Unrelated Security Control,The asset inventory is reviewed quarterly by the infrastructure team.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0030-EV-DISTRACTOR_1-0,IRCASE-0030-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0031-EV-NON_SUPPORTING-0,IRCASE-0031-DOC-A,Testing of incident response capability: Audit Gap Note,"For requirement IR-003, No documented incident response process, role assignment, response test, or escalation workflow could be identified for this company.",audit_note,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-003', 'synthetic': True, 'label': 'not_fulfilled'}"
IRCASE-0031-EV-DISTRACTOR_0-0,IRCASE-0031-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0031-EV-DISTRACTOR_1-0,IRCASE-0031-DOC-B,Unrelated Security Control,The clean desk policy requires work areas to be cleared after business hours.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0032-EV-NON_SUPPORTING-0,IRCASE-0032-DOC-A,Incident reporting and escalation: General Security Statement,"For requirement IR-004, The company handles security events as needed and employees know to contact appropriate people when something important happens.",policy,True,"{'evidence_type': 'non_supporting', 'requirement_id': 'IR-004', 'synthetic': True, 'label': 'unclear'}"
IRCASE-0032-EV-DISTRACTOR_0-0,IRCASE-0032-DOC-B,Unrelated Security Control,Visitor access badges must be returned to reception before leaving the site.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0032-EV-DISTRACTOR_1-0,IRCASE-0032-DOC-B,Unrelated Security Control,Supplier onboarding requires a commercial review before contract signature.,policy,False,"{'evidence_type': 'distractor', 'synthetic': True}"
IRCASE-0033-EV-PROCESS-0,IRCASE-0033-DOC-A,Documented incident response process: Process,"For requirement IR-001, The incident response procedure defines detection, triage, containment, eradication, recovery, communication, and post-incident review steps.",procedure,True,"{'evidence_type': 'process', 'requirement_id': 'IR-001', 'synthetic': True}"
