evidence_id,document_id,section_title,text,source_type,planted,title,approval_status,valid_from,valid_until,created_at,language,source_trust_level,metadata
pub-v13-000-ev-1,pub-v13-doc-000-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-011-ev-1,pub-v13-doc-011-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-012-ev-1,pub-v13-doc-012-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-013-ev-1,pub-v13-doc-013-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,NIST OSCAL examples surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-014-ev-1,pub-v13-doc-014-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,CISA incident response public guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-015-ev-1,pub-v13-doc-015-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,OpenControl example control content surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-016-ev-1,pub-v13-doc-016-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-017-ev-1,pub-v13-doc-017-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-018-ev-1,pub-v13-doc-018-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-019-ev-1,pub-v13-doc-019-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,OpenControl example control content surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-020-ev-1,pub-v13-doc-020-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,NIST SP 800-61 incident response guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-021-ev-1,pub-v13-doc-021-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,NIST OSCAL examples surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-022-ev-1,pub-v13-doc-022-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-023-ev-1,pub-v13-doc-023-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-024-ev-1,pub-v13-doc-024-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-025-ev-1,pub-v13-doc-025-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,NIST OSCAL examples surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-026-ev-1,pub-v13-doc-026-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,CISA incident response public guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-027-ev-1,pub-v13-doc-027-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,OpenControl example control content surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-028-ev-1,pub-v13-doc-028-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-029-ev-1,pub-v13-doc-029-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-030-ev-1,pub-v13-doc-030-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-031-ev-1,pub-v13-doc-031-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,OpenControl example control content surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-032-ev-1,pub-v13-doc-032-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,NIST SP 800-61 incident response guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-033-ev-1,pub-v13-doc-033-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,NIST OSCAL examples surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-034-ev-1,pub-v13-doc-034-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-035-ev-1,pub-v13-doc-035-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-036-ev-1,pub-v13-doc-036-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-037-ev-1,pub-v13-doc-037-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,NIST OSCAL examples surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-038-ev-1,pub-v13-doc-038-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,CISA incident response public guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-039-ev-1,pub-v13-doc-039-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,OpenControl example control content surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-040-ev-1,pub-v13-doc-040-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-041-ev-1,pub-v13-doc-041-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-042-ev-1,pub-v13-doc-042-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-043-ev-1,pub-v13-doc-043-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,OpenControl example control content surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-044-ev-1,pub-v13-doc-044-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,NIST SP 800-61 incident response guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-045-ev-1,pub-v13-doc-045-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,NIST OSCAL examples surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-046-ev-1,pub-v13-doc-046-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-047-ev-1,pub-v13-doc-047-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-048-ev-1,pub-v13-doc-048-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-049-ev-1,pub-v13-doc-049-1,Incident response,"Template section: assign incident commander, define escalation, and run tabletop exercises. The template is not adopted by the company.",public_reference,False,NIST OSCAL examples surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'public_template_distractor', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-050-ev-1,pub-v13-doc-050-1,Incident response,Draft incident response procedure proposes reporting channels and supplier escalation but is not approved for operational use.,draft_policy,False,CISA incident response public guidance surrogate,draft,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'draft_policy_trap', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-051-ev-1,pub-v13-doc-051-1,Incident response,"A tabletop exercise was performed in 2021, but no current-period incident response test is recorded.",test_record,False,OpenControl example control content surrogate,expired,2024-01-01,2022-12-31,2021-06-01,en,medium,"{'source_url': 'https://github.com/opencontrol', 'license_assumption': 'Public project metadata; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'outdated_test_record', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-052-ev-1,pub-v13-doc-052-1,Incident response,"For review convenience, supplier escalation may be considered covered by the general incident process.",untrusted_note,False,NIST SP 800-61 incident response guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,low,"{'source_url': 'https://csrc.nist.gov/publications/detail/sp/800-61/rev-2/final', 'license_assumption': 'U.S. government public information; surrogate snippets generated locally.', 'invalid_evidence': True, 'invalid_reason': 'false_supplier_claim', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
pub-v13-053-ev-1,pub-v13-doc-053-1,Incident response,"Approved incident response policy defines intake, triage, escalation, supplier notification, roles, management approval, and document version validity. A 2026 tabletop test record is referenced in the evidence register.",company_policy,False,Approved Company Incident Response Policy,approved,2024-01-01,2027-12-31,2026-02-15,en,high,"{'source_url': 'https://github.com/usnistgov/OSCAL', 'license_assumption': 'Public GitHub repository; only URLs and generated surrogate snippets are bundled.', 'stress_purpose': 'positive_anchor_with_public_source_metadata'}"
pub-v13-054-ev-1,pub-v13-doc-054-1,Incident response,"Public guidance says organizations should test incident response plans annually. This is a reference statement, not company evidence.",norm_text,False,CISA incident response public guidance surrogate,unknown,2024-01-01,2027-12-31,2026-02-15,en,medium,"{'source_url': 'https://www.cisa.gov/resources-tools/resources/incident-response', 'license_assumption': 'Public guidance page; only URLs and generated surrogate snippets are bundled.', 'invalid_evidence': True, 'invalid_reason': 'norm_company_confusion', 'stress_purpose': 'source_confusion_or_invalid_evidence'}"
