claim_id,claim_text,supported_by_result_file,exact_metric,exact_value,confidence_interval,support_status,required_wording_adjustment,keep_in_paper
C24,"The ACSAC framing is supported by stronger literature on ISMS, security assurance, compliance automation, continuous IT audit, regulatory retrieval, and GRC/LLM risks.",paper/references.bib,Literature,Final bibliography supports literature framing,not applicable,fully supported for citation-base strengthening,Use as literature support only; do not present it as empirical validation.,yes
C25,"The literature supports a gap for evidence-grounded ISMS false-compliance benchmarking, but not proof that no related benchmark exists.",paper/references.bib,Cited-literature framing,"Adjacent work is cited; the claim remains cautious",not applicable,partially supported,Use cautious wording such as reviewed literature does not provide; avoid exhaustive novelty claims.,yes
C26,The repository now contains a secure provider-agnostic LLM/RAG baseline pipeline.,src/kisec/llm/*; scripts/run_llm_baselines_v13.py; tests/test_v13_llm_external.py; experiments/results/llm_medium_150_summary_v14.csv,Pipeline validation and real subset runs,Real GPT OSS 120B runs completed; non-attack and attack parse error rate 0.000,not applicable,fully supported as infrastructure and subset evaluation,Report only real provider-backed results; do not report mock runs as performance.,yes
C27,Public/template-derived stress data supports source-confusion testing beyond the original synthetic generator.,data/benchmark/public_template_stress_v13.jsonl; experiments/results/public_template_stress_v13.csv; experiments/results/public_template_stress_analysis_v13.md,Public-template stress results,60 bundles; metadata-aware source attribution failure 0.667; provenance methods 0.000,not applicable,partially supported,"State as source-attribution stress testing, not real-world validation.",yes
C28,Real LLM/RAG baselines support the false-compliance motivation.,experiments/results/llm_medium_150_summary_v14.csv; experiments/results/llm_medium_150_analysis_v14.md,False compliance on non-attack LLM subset,zero-shot and BM25-RAG false compliance 0.107 on 150 non-attack cases,not applicable,fully supported for evaluated subset,Keep; say subset-based and model-specific.,yes
C29,Provenance prompting reduces false compliance on the real LLM/RAG non-attack subset.,experiments/results/llm_medium_150_summary_v14.csv,False compliance by LLM prompt variant,BM25-RAG false compliance 0.107; metadata 0.067; provenance prompt 0.020,not applicable,fully supported for evaluated subset,Keep; do not claim all prompts or models behave similarly.,yes
C30,Conservative LLM prompting removes full false-fulfilled attack success in the evaluated attack subset but does not eliminate partial unsafe-evidence acceptance.,experiments/results/llm_attack_150_summary_v14.csv; experiments/results/llm_attack_150_analysis_v14.md,Attack success and unsafe evidence,conservative full success 0.000; partial success 0.040; unsafe evidence 0.040,not applicable,fully supported for evaluated subset,"Keep; phrase as attack-risk reduction, not attack resistance.",yes
C31,Metadata prompting is not a monotonic LLM attack defense.,experiments/results/llm_attack_150_summary_v14.csv,Residual risk and unsafe evidence,metadata residual risk 0.081 vs BM25-RAG residual risk 0.027; metadata unsafe evidence 0.080,not applicable,fully supported for evaluated subset,Keep as cautionary interpretation.,yes
C32,LLM/RAG results are model-specific and subset-based.,experiments/results/llm_medium_150_summary_v14.csv; experiments/results/llm_attack_150_summary_v14.csv,LLM evaluation scope,one model; 150 non-attack cases; 150 attack cases,not applicable,fully supported as limitation,Keep in Limitations; do not generalize across LLMs or providers.,yes
C33,The public-document-derived split reduces document-generation dependence but is diagnostic stress evidence only.,data/benchmark/public_external_validation_cases_v18c.csv; data/benchmark/public_external_review_sheet_v18c.csv; data/external_public/public_ir_evidence_corpus_v18b.csv,Public-document-derived stress split and review status,46 cases; public source URLs and short excerpts/paraphrases; labels project-initial; external_review_status pending,not applicable,partially supported,Frame as diagnostic stress evidence only; do not call independent external validation or human review.,yes
C34,Metadata spoofing and missing metadata are direct threats to provenance-aware pre-assessment.,experiments/results/metadata_spoofing_ablation_v23.csv; experiments/results/metadata_spoofing_ablation_v23.md,Metadata-spoofing diagnostic,"50 selected metadata-sensitive cases; source-type spoofing raises metadata-aware false compliance from 0.260 to 0.500; validity spoofing raises provenance-balanced false compliance from 0.140 to 0.200; missing metadata causes conservative abstention 1.000 with no false fulfilled outcomes",not applicable,partially supported as diagnostic evidence,Keep as a small diagnostic ablation; do not claim complete metadata-spoofing robustness or ingestion-security coverage.,yes
C35,Reviewer-facing artifact maturity is improved through root documentation Makefile sanity tests and an expert-review protocol.,README.md; ARTIFACT.md; REPRODUCIBILITY.md; BENCHMARK_CARD.md; CLAIMS_AND_EVIDENCE.md; SCOPE_AND_LIMITATIONS.md; Makefile; external_validation_protocol/*; tests/test_artifact_readiness.py,Artifact readiness and validation planning,Documentation and tests added; no new empirical labels or expert annotations,not applicable,supported as artifact/documentation improvement,Do not frame the protocol as completed expert validation.,yes
C36,No completed independent expert validation is reported.,paper/sections/10_limitations.tex; paper/sections/10a_threats_to_validity.tex; external_validation_protocol/*,Explicit limitation and protocol-only evidence,Expert-review protocol exists but no completed independent annotations are reported,not applicable,fully supported as limitation,Keep visible in paper; do not imply expert validation.,yes
C37,Diagnostic checks mitigate but do not eliminate synthetic-data and generator-coupling concerns.,scripts/check_generator_coupling.py; data/benchmark/manual_challenge_cases_v09.jsonl; data/benchmark/public_external_validation_cases_v18c.jsonl; experiments/results/external_validity_v07.csv; experiments/results/metadata_spoofing_ablation_v23.csv,Diagnostic and robustness checks,Heldout independent alternative-generator manual public-document mutation paraphrase metadata-spoofing and adversarial checks exist,not applicable,partially supported,Frame as diagnostic mitigation not field validation.,yes
C38,Residual attack-risk ranking is checked under alternative heuristic weights.,scripts/run_residual_attack_risk_sensitivity.py; experiments/results/residual_attack_risk_sensitivity_v29.csv,Sensitivity check,Alternative weight settings recompute existing component metrics,not applicable,supported as diagnostic sensitivity check,Report component metrics separately; do not treat aggregate as validated loss function.,yes
C39,Several diagnostic surfaces reduce generator-coupling concerns but no completed external expert validation is reported.,"heldout templates; independent challenge set; alternative-generator set; manual challenge set; public-document-derived diagnostic split; mutation tests; metadata-spoofing diagnostics; adversarial fixtures; leakage checks",Diagnostic validation surfaces,Labels remain project-authored unless explicitly stated otherwise,not applicable,partially supported,"Distinguish project-authored independent cases from externally authored expert-adjudicated or real audit cases.",yes
