case_id,original_case_id,case_cleanup_status,expected_status,predicted_metadata_aware,predicted_provenance_balanced,predicted_provenance_conservative,predicted_provenance_conservative_with_guard,false_compliance_by_method,abstention_by_method,evidence_ids_used_by_method,canonical_source_types,requirement_criteria,missing_criteria,likely_error_type,all_error_categories,rationale
PUBEXT18B-011,PUBEXT18-011,retained_clean,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative_with_guard"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""]}",public_org_policy,supplier_or_third_party_incident_escalation|incident_reporting_channel,,method_overabstains,method_overabstains,USC policy scope includes third-party services/products and incident-response expectations.
PUBEXT18B-012,PUBEXT18-012,retained_clean,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",public_org_policy,documented_incident_response_process|periodic_testing_or_exercises|document_version_and_validity,,method_overabstains,method_overabstains,UMGC evidence supports documented handling plus annual review linked to execution/testing.
PUBEXT18B-013,PUBEXT18-013,retained_clean,partially_fulfilled,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",public_org_policy,documented_incident_response_process|periodic_testing_or_exercises|supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,method_overabstains,method_overabstains,"UMGC evidence supports process and annual review/testing reference, but no supplier escalation in the selected bundle."
PUBEXT18B-014,PUBEXT18-014,retained_clean,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E011""], ""provenance_balanced"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative_with_guard"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""]}",public_org_plan,documented_incident_response_process|assigned_roles_and_responsibilities|periodic_testing_or_exercises,periodic_testing_or_exercises,method_overabstains,method_overabstains,UA evidence supports plan and roles but not exercise/testing evidence in this bundle.
PUBEXT18B-015,PUBEXT18-015,revised,partially_fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E020""], ""provenance_balanced"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative_with_guard"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""]}",public_org_plan,documented_incident_response_process|evidence_preservation|post_incident_review_or_lessons_learned|supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,requirement_too_composite,requirement_too_composite|label_too_strict|method_overabstains|genuine_generalization_failure,"UConn evidence supports process, evidence preservation, and lessons learned, but no third-party escalation in the selected bundle."
PUBEXT18B-016,PUBEXT18-016,revised,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E024""], ""provenance_balanced"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative_with_guard"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""]}",public_org_plan,documented_incident_response_process|assigned_roles_and_responsibilities|incident_reporting_channel|periodic_testing_or_exercises,periodic_testing_or_exercises,requirement_too_composite,requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"Buffalo evidence supports plan, roles, reporting, and review ownership, but not testing in the selected bundle."
PUBEXT18B-017,PUBEXT18-017,retained_clean,partially_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative_with_guard"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""]}",public_org_policy,documented_incident_response_process|supplier_or_third_party_incident_escalation|periodic_testing_or_exercises,periodic_testing_or_exercises,method_overabstains,method_overabstains,USC policy supports scope and third-party relevance but lacks exercise evidence in the selected bundle.
PUBEXT18B-018,PUBEXT18-018,retained_clean,partially_fulfilled,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E031""], ""provenance_conservative"": [""PUBIR-E031""], ""provenance_conservative_with_guard"": [""PUBIR-E031""]}",public_org_procedure,documented_incident_response_process|incident_reporting_channel|post_incident_review_or_lessons_learned,post_incident_review_or_lessons_learned,method_overabstains,method_overabstains,SCU procedure supports reporting and evidence handling but not after-action review in this bundle.
PUBEXT18B-019,PUBEXT18-019,retained_clean,partially_fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E034""], ""provenance_balanced"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative_with_guard"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""]}",public_org_policy,documented_incident_response_process|incident_reporting_channel|document_version_and_validity,document_version_and_validity,method_overabstains,method_overabstains|genuine_generalization_failure,"Albany State evidence supports process and reporting/escalation, but no review or validity date in selected evidence."
PUBEXT18B-020,PUBEXT18-020,revised,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E036"", ""PUBIR-E037""], ""provenance_balanced"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative_with_guard"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""]}",public_org_standard,documented_incident_response_process|assigned_roles_and_responsibilities|evidence_preservation|periodic_testing_or_exercises,periodic_testing_or_exercises,requirement_too_composite,requirement_too_composite|paraphrase_too_short|label_too_strict|method_overabstains,"USNH evidence supports team, records, and approval history, but not testing in selected evidence."
PUBEXT18B-022,PUBEXT18-022,revised,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E002""], ""provenance_balanced"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative_with_guard"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""]}",public_org_plan,documented_incident_response_process|incident_reporting_channel|evidence_preservation|periodic_testing_or_exercises,periodic_testing_or_exercises,requirement_too_composite,requirement_too_composite|label_too_strict|method_overabstains,"MSU summary supports plan, reporting, forensics, and post mortem, but no testing evidence."
PUBEXT18B-025,PUBEXT18-025,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_guidance,documented_incident_response_process,documented_incident_response_process,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST guidance is a public norm source, not implementation evidence for an organization."
PUBEXT18B-026,PUBEXT18-026,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E050""], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_guidance,periodic_testing_or_exercises,periodic_testing_or_exercises,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST SP 800-84 guidance supports what exercises are, but it is not evidence that an organization performed one."
PUBEXT18B-027,PUBEXT18-027,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",oscal_control,evidence_preservation,evidence_preservation,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"OSCAL assessment-plan documentation is structured assessment guidance, not organization-specific evidence preservation."
PUBEXT18B-028,PUBEXT18-028,retained_clean,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E046"", ""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_template,documented_incident_response_process|supplier_or_third_party_incident_escalation,documented_incident_response_process|supplier_or_third_party_incident_escalation,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,EPA template instructions are not an adopted incident-response plan or supplier escalation record.
PUBEXT18B-029,PUBEXT18-029,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",assessment_template,documented_incident_response_process,documented_incident_response_process,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,FedRAMP/OSCAL assessment-template references are not implementation evidence for incident response.
PUBEXT18B-030,PUBEXT18-030,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",oscal_control|public_guidance,incident_reporting_channel,incident_reporting_channel,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Normative guidance and OSCAL model references do not provide a public organization's reporting channel.
PUBEXT18B-031,PUBEXT18-031,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",assessment_template|public_guidance,supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,template_guidance_confusion,template_guidance_confusion|public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Testing guidance and assessment templates do not prove supplier incident escalation.
PUBEXT18B-032,PUBEXT18-032,retained_clean,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E048""], ""provenance_balanced"": [""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_template,periodic_testing_or_exercises|post_incident_review_or_lessons_learned,periodic_testing_or_exercises|post_incident_review_or_lessons_learned,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,A blank/customizable template is not a completed exercise record or lessons-learned record.
PUBEXT18B-033,PUBEXT18-033,retained_clean,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E046"", ""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",public_template,documented_incident_response_process|assigned_roles_and_responsibilities,documented_incident_response_process|assigned_roles_and_responsibilities,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Training advice in template instructions is not an adopted plan with assigned roles.
PUBEXT18B-034,PUBEXT18-034,retained_clean,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",assessment_template|oscal_control,evidence_preservation|management_approval,evidence_preservation|management_approval,template_guidance_confusion,template_guidance_confusion|public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Assessment model and template references cannot substitute for organization-specific evidence custody and owner approval.
