case_id,expected_status,predicted_metadata_aware,predicted_provenance_balanced,predicted_provenance_conservative,predicted_provenance_conservative_with_guard,false_compliance_by_method,abstention_by_method,evidence_ids_used_by_method,source_type,requirement_criteria,missing_criteria,likely_error_type,all_error_categories,rationale
PUBEXT18-011,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative_with_guard"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""]}",company_policy,supplier_or_third_party_incident_escalation|incident_reporting_channel,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,USC policy scope includes third-party services/products and incident-response expectations.
PUBEXT18-012,fulfilled,unclear,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",company_policy,documented_incident_response_process|periodic_testing_or_exercises|document_version_and_validity,,source_type_mapping_error,source_type_mapping_error|label_too_strict|method_overabstains,UMGC evidence supports documented handling plus annual review linked to execution/testing.
PUBEXT18-013,partially_fulfilled,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""], ""provenance_conservative_with_guard"": [""PUBIR-E004"", ""PUBIR-E005"", ""PUBIR-E006"", ""PUBIR-E007"", ""PUBIR-E008""]}",company_policy,documented_incident_response_process|periodic_testing_or_exercises|supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,source_type_mapping_error,source_type_mapping_error|method_overabstains,"UMGC evidence supports process and annual review/testing reference, but no supplier escalation in the selected bundle."
PUBEXT18-014,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E011""], ""provenance_balanced"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""], ""provenance_conservative_with_guard"": [""PUBIR-E009"", ""PUBIR-E010"", ""PUBIR-E011"", ""PUBIR-E012""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|periodic_testing_or_exercises,periodic_testing_or_exercises,source_type_mapping_error,source_type_mapping_error|method_overabstains,UA evidence supports plan and roles but not exercise/testing evidence in this bundle.
PUBEXT18-015,partially_fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E020""], ""provenance_balanced"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""], ""provenance_conservative_with_guard"": [""PUBIR-E017"", ""PUBIR-E019"", ""PUBIR-E020"", ""PUBIR-E021"", ""PUBIR-E023""]}",company_policy,documented_incident_response_process|evidence_preservation|post_incident_review_or_lessons_learned|supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|method_overabstains,"UConn evidence supports process, evidence preservation, and lessons learned, but no third-party escalation in the selected bundle."
PUBEXT18-016,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E024""], ""provenance_balanced"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""], ""provenance_conservative_with_guard"": [""PUBIR-E024"", ""PUBIR-E025"", ""PUBIR-E026"", ""PUBIR-E027"", ""PUBIR-E029""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|incident_reporting_channel|periodic_testing_or_exercises,periodic_testing_or_exercises,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|paraphrase_too_short|method_overabstains,"Buffalo evidence supports plan, roles, reporting, and review ownership, but not testing in the selected bundle."
PUBEXT18-017,partially_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""], ""provenance_conservative_with_guard"": [""PUBIR-E014"", ""PUBIR-E015"", ""PUBIR-E016""]}",company_policy,documented_incident_response_process|supplier_or_third_party_incident_escalation|periodic_testing_or_exercises,periodic_testing_or_exercises,source_type_mapping_error,source_type_mapping_error|method_overabstains,USC policy supports scope and third-party relevance but lacks exercise evidence in the selected bundle.
PUBEXT18-018,partially_fulfilled,unclear,partially_fulfilled,partially_fulfilled,partially_fulfilled,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E031""], ""provenance_conservative"": [""PUBIR-E031""], ""provenance_conservative_with_guard"": [""PUBIR-E031""]}",company_policy,documented_incident_response_process|incident_reporting_channel|post_incident_review_or_lessons_learned,post_incident_review_or_lessons_learned,source_type_mapping_error,source_type_mapping_error|method_overabstains,SCU procedure supports reporting and evidence handling but not after-action review in this bundle.
PUBEXT18-019,partially_fulfilled,partially_fulfilled,fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": true, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E034""], ""provenance_balanced"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""], ""provenance_conservative_with_guard"": [""PUBIR-E032"", ""PUBIR-E033"", ""PUBIR-E034""]}",company_policy,documented_incident_response_process|incident_reporting_channel|document_version_and_validity,document_version_and_validity,source_type_mapping_error,source_type_mapping_error|method_overabstains,"Albany State evidence supports process and reporting/escalation, but no review or validity date in selected evidence."
PUBEXT18-020,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E036"", ""PUBIR-E037""], ""provenance_balanced"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""], ""provenance_conservative_with_guard"": [""PUBIR-E035"", ""PUBIR-E036"", ""PUBIR-E037"", ""PUBIR-E038""]}",company_policy,documented_incident_response_process|assigned_roles_and_responsibilities|evidence_preservation|periodic_testing_or_exercises,periodic_testing_or_exercises,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|paraphrase_too_short|method_overabstains,"USNH evidence supports team, records, and approval history, but not testing in selected evidence."
PUBEXT18-022,partially_fulfilled,partially_fulfilled,partially_fulfilled,unclear,unclear,"{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": false, ""provenance_conservative_with_guard"": false}","{""metadata_aware"": false, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E002""], ""provenance_balanced"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""], ""provenance_conservative_with_guard"": [""PUBIR-E001"", ""PUBIR-E002"", ""PUBIR-E003""]}",company_policy,documented_incident_response_process|incident_reporting_channel|evidence_preservation|periodic_testing_or_exercises,periodic_testing_or_exercises,source_type_mapping_error,source_type_mapping_error|requirement_too_composite|method_overabstains,"MSU summary supports plan, reporting, forensics, and post mortem, but no testing evidence."
PUBEXT18-025,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,documented_incident_response_process,documented_incident_response_process,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST guidance is a public norm source, not implementation evidence for an organization."
PUBEXT18-026,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E050""], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,periodic_testing_or_exercises,periodic_testing_or_exercises,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST SP 800-84 guidance supports what exercises are, but it is not evidence that an organization performed one."
PUBEXT18-027,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,evidence_preservation,evidence_preservation,template_guidance_confusion,template_guidance_confusion|public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"OSCAL assessment-plan documentation is structured assessment guidance, not organization-specific evidence preservation."
PUBEXT18-028,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E046"", ""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",draft_policy,documented_incident_response_process|supplier_or_third_party_incident_escalation,documented_incident_response_process|supplier_or_third_party_incident_escalation,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,EPA template instructions are not an adopted incident-response plan or supplier escalation record.
PUBEXT18-029,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,documented_incident_response_process,documented_incident_response_process,template_guidance_confusion,template_guidance_confusion|public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,FedRAMP/OSCAL assessment-template references are not implementation evidence for incident response.
PUBEXT18-030,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,incident_reporting_channel,incident_reporting_channel,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Normative guidance and OSCAL model references do not provide a public organization's reporting channel.
PUBEXT18-031,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,supplier_or_third_party_incident_escalation,supplier_or_third_party_incident_escalation,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Testing guidance and assessment templates do not prove supplier incident escalation.
PUBEXT18-032,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [""PUBIR-E048""], ""provenance_balanced"": [""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",draft_policy,periodic_testing_or_exercises|post_incident_review_or_lessons_learned,periodic_testing_or_exercises|post_incident_review_or_lessons_learned,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,A blank/customizable template is not a completed exercise record or lessons-learned record.
PUBEXT18-033,not_fulfilled,unclear,partially_fulfilled,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": false, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [""PUBIR-E046"", ""PUBIR-E048""], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",draft_policy,documented_incident_response_process|assigned_roles_and_responsibilities,documented_incident_response_process|assigned_roles_and_responsibilities,template_guidance_confusion,template_guidance_confusion|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Training advice in template instructions is not an adopted plan with assigned roles.
PUBEXT18-034,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,evidence_preservation|management_approval,evidence_preservation|management_approval,template_guidance_confusion,template_guidance_confusion|public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,Assessment model and template references cannot substitute for organization-specific evidence custody and owner approval.
PUBEXT18-035,not_fulfilled,unclear,unclear,unclear,unclear,"{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": true, ""provenance_balanced"": true, ""provenance_conservative"": true, ""provenance_conservative_with_guard"": true}","{""metadata_aware"": [], ""provenance_balanced"": [], ""provenance_conservative"": [], ""provenance_conservative_with_guard"": []}",norm_text,documented_incident_response_process|document_version_and_validity,documented_incident_response_process|document_version_and_validity,public_guidance_used_as_org_evidence,public_guidance_used_as_org_evidence|policy_vs_implementation_confusion|missing_metadata|method_overabstains,"NIST publications are guidance, not a versioned organization plan."
